
异常时间：2018-12-26 10:51:02,479 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792659时间：2018/12/26 10:51:02

异常时间：2018-12-26 10:51:02,479 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:02,479 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792659时间：2018/12/26 10:51:02

异常时间：2018-12-26 10:51:02,584 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792659，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:51:02

异常时间：2018-12-26 10:51:02,989 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792659，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:51:02

异常时间：2018-12-26 10:51:03,017 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:03,017 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792659时间：2018/12/26 10:51:03

异常时间：2018-12-26 10:51:03,018 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:03,018 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792659时间：2018/12/26 10:51:03

异常时间：2018-12-26 10:51:03,173 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:03,173 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792659时间：2018/12/26 10:51:03

异常时间：2018-12-26 10:51:03,475 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792659，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:51:03

异常时间：2018-12-26 10:51:03,475 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:03,475 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792659时间：2018/12/26 10:51:03

异常时间：2018-12-26 10:51:03,529 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:03,529 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792659时间：2018/12/26 10:51:03

异常时间：2018-12-26 10:51:03,625 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:03,625 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792659时间：2018/12/26 10:51:03

异常时间：2018-12-26 10:51:03,718 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792659，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:51:03

异常时间：2018-12-26 10:51:03,800 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792659，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:51:03

异常时间：2018-12-26 10:51:04,130 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792659，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:51:04

异常时间：2018-12-26 10:51:04,412 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792659，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:51:04

异常时间：2018-12-26 10:51:04,505 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:04,505 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792659时间：2018/12/26 10:51:04

异常时间：2018-12-26 10:51:04,656 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:04,656 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792659时间：2018/12/26 10:51:04

异常时间：2018-12-26 10:51:05,137 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:05,137 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792659时间：2018/12/26 10:51:05

异常时间：2018-12-26 10:51:05,138 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:05,138 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792659时间：2018/12/26 10:51:05

异常时间：2018-12-26 10:51:05,309 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792659，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:51:05

异常时间：2018-12-26 10:51:06,250 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:06,250 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792659时间：2018/12/26 10:51:06

异常时间：2018-12-26 10:55:33,906 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792912，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:55:33

异常时间：2018-12-26 10:55:34,099 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:34,099 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792912时间：2018/12/26 10:55:34

异常时间：2018-12-26 10:55:34,146 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792912，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:55:34

异常时间：2018-12-26 10:55:34,425 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:34,425 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792912时间：2018/12/26 10:55:34

异常时间：2018-12-26 10:55:34,716 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:34,716 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792912时间：2018/12/26 10:55:34

异常时间：2018-12-26 10:55:35,015 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:35,015 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792912时间：2018/12/26 10:55:35

异常时间：2018-12-26 10:55:35,043 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:35,043 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792912时间：2018/12/26 10:55:35

异常时间：2018-12-26 10:55:35,090 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792912，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:55:35

异常时间：2018-12-26 10:55:35,230 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:35,230 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792912时间：2018/12/26 10:55:35

异常时间：2018-12-26 10:55:35,379 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792912，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:55:35

异常时间：2018-12-26 10:55:35,440 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:35,440 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792912时间：2018/12/26 10:55:35

异常时间：2018-12-26 10:55:35,701 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792912，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:55:35

异常时间：2018-12-26 10:55:35,782 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:35,782 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792912时间：2018/12/26 10:55:35

异常时间：2018-12-26 10:55:36,019 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792912，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:55:36

异常时间：2018-12-26 10:55:36,627 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:36,627 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792912时间：2018/12/26 10:55:36

异常时间：2018-12-26 10:55:36,820 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:36,820 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792912时间：2018/12/26 10:55:36

异常时间：2018-12-26 10:55:36,939 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792912，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:55:36

异常时间：2018-12-26 10:55:36,974 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:36,974 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792912时间：2018/12/26 10:55:36

异常时间：2018-12-26 10:55:37,094 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792912，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:55:37

异常时间：2018-12-26 10:55:37,198 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:37,198 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792912时间：2018/12/26 10:55:37

异常时间：2018-12-26 10:55:37,248 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:37,248 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792912时间：2018/12/26 10:55:37

异常时间：2018-12-26 10:55:37,366 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792912，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:55:37

异常时间：2018-12-26 10:55:37,717 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:37,717 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792912时间：2018/12/26 10:55:37

异常时间：2018-12-26 10:55:38,125 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:38,125 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792912时间：2018/12/26 10:55:38

异常时间：2018-12-26 10:55:38,139 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:38,139 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792912时间：2018/12/26 10:55:38

异常时间：2018-12-26 10:55:38,165 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:55:38,165 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792912时间：2018/12/26 10:55:38

异常时间：2018-12-26 10:55:38,194 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792912，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:55:38

异常时间：2018-12-26 14:30:21,484 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545805780，异常消息：基础连接已经关闭: 发送时发生错误。，时间：2018/12/26 14:30:21

异常时间：2018-12-26 14:32:20,779 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545805900，异常消息：基础连接已经关闭: 发送时发生错误。，时间：2018/12/26 14:32:20

